iter	MultiClass
0	5.030411465
1	5.030386732
2	5.030386732
3	5.030363594
4	5.030336467
5	5.030311734
6	5.030287001
7	5.030263464
8	5.030237534
9	5.030212801
10	5.030188467
11	5.030163335
12	5.030137006
13	5.030112273
14	5.030087141
15	5.030061211
16	5.030037275
17	5.030037275
18	5.030012542
19	5.029988607
20	5.029963076
21	5.029937545
22	5.029912811
23	5.029888078
24	5.029888078
25	5.029888078
26	5.029862547
27	5.029837415
28	5.029837415
29	5.029812283
30	5.029786752
31	5.029760822
32	5.02973569
33	5.029710957
34	5.029685426
35	5.029659496
36	5.029634364
37	5.029608434
38	5.029584498
39	5.029558568
40	5.029534633
41	5.0295099
42	5.029484369
43	5.029460433
44	5.029435301
45	5.029410568
46	5.029385436
47	5.029385436
48	5.029359905
49	5.029334773
50	5.029308843
51	5.029308843
52	5.029283312
53	5.02925818
54	5.02923225
55	5.029206718
56	5.029181586
57	5.029158449
58	5.029133317
59	5.029107387
60	5.029083052
61	5.029058319
62	5.029032788
63	5.029007656
64	5.028982524
65	5.028956993
66	5.028956993
67	5.028933058
68	5.028908324
69	5.028883192
70	5.02885806
71	5.028833327
72	5.028807796
73	5.028784658
74	5.02875833
75	5.028733596
76	5.028708863
77	5.028683332
78	5.028683332
79	5.028657801
80	5.028657801
81	5.028633866
82	5.028633866
83	5.028610329
84	5.028584798
85	5.028561262
86	5.028537326
87	5.028511795
88	5.028487062
89	5.028462329
90	5.028438394
91	5.028438394
92	5.028412863
93	5.028386933
94	5.0283618
95	5.028336269
96	5.028311536
97	5.028285606
98	5.028260474
99	5.02823614
100	5.02823614
101	5.02823614
102	5.028211008
103	5.028211008
104	5.028186275
105	5.028161541
106	5.02813601
107	5.028111277
108	5.028085347
109	5.028061013
110	5.028035083
111	5.02801035
112	5.027985218
113	5.027959686
114	5.027934554
115	5.02791022
116	5.027885487
117	5.027859956
118	5.027859956
119	5.027835223
120	5.027810489
121	5.027785756
122	5.027759826
123	5.027734694
124	5.027709163
125	5.027683632
126	5.027658101
127	5.027633767
128	5.027607837
129	5.027583901
130	5.027583901
131	5.02755837
132	5.027533637
133	5.027533637
134	5.027533637
135	5.027508106
136	5.027482575
137	5.027459438
138	5.027434704
139	5.027409173
140	5.027409173
141	5.027384041
142	5.027358909
143	5.027333378
144	5.027308246
145	5.027283114
146	5.027257583
147	5.027232451
148	5.027207717
149	5.027182186
150	5.027156655
151	5.027136709
152	5.027111178
153	5.027085248
154	5.027060116
155	5.027034984
156	5.027034984
157	5.027034984
158	5.027034984
159	5.027009453
160	5.026983922
161	5.026958391
162	5.026933658
163	5.026908127
164	5.026882595
165	5.026857862
166	5.026831932
167	5.0268068
168	5.026781269
169	5.026755738
170	5.026729808
171	5.026704676
172	5.026679943
173	5.026654013
174	5.026628881
175	5.026603749
176	5.026578218
177	5.026553085
178	5.026527554
179	5.026502023
180	5.026476891
181	5.026450961
182	5.026425829
183	5.026399899
184	5.026375964
185	5.026350034
186	5.026324902
187	5.02630336
188	5.026277829
189	5.026257484
190	5.026232352
191	5.02620722
192	5.026182885
193	5.026182885
194	5.026157753
195	5.026132222
196	5.026106292
197	5.026081559
198	5.026056427
199	5.026032093
200	5.026006561
201	5.025981429
202	5.025981429
203	5.025955499
204	5.025931165
205	5.025905235
206	5.025880502
207	5.025856567
208	5.025831036
209	5.025805106
210	5.025780771
211	5.02575524
212	5.025730906
213	5.025705774
214	5.025681041
215	5.02565551
216	5.025630776
217	5.025606043
218	5.025580911
219	5.025556178
220	5.025530647
221	5.025504717
222	5.025480782
223	5.02545525
224	5.025429719
225	5.025405784
226	5.025380253
227	5.025354722
228	5.025329989
229	5.025304458
230	5.025304458
231	5.025278927
232	5.025253396
233	5.025227466
234	5.02520353
235	5.0251776
236	5.025152468
237	5.025152468
238	5.025128134
239	5.025102603
240	5.025077471
241	5.025052339
242	5.025052339
243	5.025026808
244	5.025026808
245	5.025004069
246	5.025004069
247	5.024978538
248	5.024953406
249	5.024928673
250	5.024903541
251	5.024879206
252	5.024853675
253	5.02482974
254	5.02480381
255	5.024778678
256	5.024753147
257	5.024729211
258	5.024703281
259	5.024678947
260	5.024653416
261	5.024628683
262	5.024604747
263	5.024584801
264	5.024584801
265	5.02455927
