iter	Passed	Remaining
0	446	118204
1	897	118506
2	906	79431
3	1330	87160
4	1783	93082
5	2229	96601
6	2680	99167
7	3118	100587
8	3557	101581
9	3994	102254
10	4420	102469
11	4872	103131
12	5329	103726
13	5798	104372
14	6292	105297
15	6775	105862
16	7244	106107
17	7252	99922
18	7699	100088
19	8128	99984
20	8578	100082
21	9057	100452
22	9494	100307
23	9953	100360
24	9961	96026
25	9969	92026
26	10423	92269
27	10909	92732
28	10918	89227
29	11395	89645
30	11882	90077
31	12349	90308
32	12809	90441
33	13283	90642
34	13729	90612
35	14195	90692
36	14628	90536
37	15091	90548
38	15523	90353
39	15983	90307
40	16442	90231
41	16932	90306
42	17394	90211
43	17843	90028
44	18280	89775
45	18741	89635
46	19181	89375
47	19190	87154
48	19641	86985
49	20117	86908
50	20586	86786
51	20594	84754
52	21068	84672
53	21501	84415
54	21971	84290
55	22413	84050
56	22897	83956
57	23349	83737
58	23810	83540
59	24270	83329
60	24692	82983
61	25147	82744
62	25589	82454
63	26062	82258
64	26536	82058
65	27002	81824
66	27010	80225
67	27443	79908
68	27911	79689
69	28375	79451
70	28823	79163
71	29253	78823
72	29716	78565
73	30163	78262
74	30615	77968
75	31058	77646
76	31506	77333
77	31977	77073
78	31985	75713
79	32447	75440
80	32456	74128
81	32883	73787
82	32891	72520
83	33312	72176
84	33780	71932
85	34203	71588
86	34639	71269
87	35103	71005
88	35553	70708
89	36011	70423
90	36445	70086
91	36453	68944
92	36914	68669
93	37363	68366
94	37805	68049
95	38253	67739
96	38701	67427
97	39146	67109
98	39584	66774
99	40020	66433
100	40028	65392
101	40036	64371
102	40484	64067
103	40492	63074
104	40904	62719
105	41326	62379
106	41776	62079
107	42235	61789
108	42673	61464
109	43100	61123
110	43548	60811
111	43997	60497
112	44427	60154
113	44876	59834
114	45300	59481
115	45764	59177
116	46199	58834
117	46671	58537
118	46679	57663
119	47135	57347
120	47584	57022
121	48045	56709
122	48504	56391
123	48953	56060
124	49413	55738
125	49870	55411
126	50331	55086
127	50777	54744
128	51254	54432
129	51693	54079
130	51702	53280
131	52122	52912
132	52576	52576
133	52585	51800
134	52593	51034
135	53050	50710
136	53513	50389
137	53944	50035
138	54374	49679
139	54827	49344
140	54836	48613
141	55286	48278
142	55732	47937
143	56172	47590
144	56607	47238
145	57062	46900
146	57501	46549
147	57933	46189
148	58373	45837
149	58840	45503
150	59296	45159
151	59714	44785
152	60144	44420
153	60599	44072
154	61050	43720
155	61475	43348
156	61483	42686
157	61492	42032
158	61501	41387
159	61957	41046
160	62409	40702
161	62886	40371
162	63341	40025
163	63772	39663
164	64205	39301
165	64659	38951
166	65116	38602
167	65569	38249
168	66001	37882
169	66459	37530
170	66911	37172
171	67357	36811
172	67796	36445
173	68255	36088
174	68712	35730
175	69140	35355
176	69596	34994
177	70057	34635
178	70490	34260
179	70949	33898
180	71392	33526
181	71838	33156
182	72308	32795
183	72749	32421
184	73177	32040
185	73634	31670
186	74095	31302
187	74539	30926
188	75026	30566
189	75455	30182
190	75907	29806
191	76376	29436
192	76830	29060
193	76838	28517
194	77300	28145
195	77732	27761
196	78191	27386
197	78616	26999
198	79073	26622
199	79505	26236
200	79948	25853
201	80399	25473
202	80407	24953
203	80871	24578
204	81323	24198
205	81775	23818
206	82192	23426
207	82611	23035
208	83042	22647
209	83476	22260
210	83907	21871
211	84368	21490
212	84826	21107
213	85277	20721
214	85716	20332
215	86167	19946
216	86595	19553
217	87033	19163
218	87471	18772
219	87894	18377
220	88350	17989
221	88789	17597
222	89222	17204
223	89645	16808
224	90106	16419
225	90541	16025
226	91009	15635
227	91475	15245
228	91897	14848
229	92323	14450
230	92331	13989
231	92793	13599
232	93259	13208
233	93712	12815
234	94151	12420
235	94594	12024
236	95037	11629
237	95045	11181
238	95471	10785
239	95892	10388
240	96342	9994
241	96781	9598
242	96791	9161
243	97251	8768
244	97259	8336
245	97692	7942
246	97703	7515
247	98149	7123
248	98568	6729
249	99021	6337
250	99485	5945
251	99917	5550
252	100364	5157
253	100829	4763
254	101287	4369
255	101718	3973
256	102213	3579
257	102627	3182
258	103065	2785
259	103479	2387
260	103907	1990
261	104345	1593
262	104787	1195
263	105184	796
264	105192	396
265	105632	0
